epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.807,1.28592,3.10538,1.12703,0.00349,0.90625,0.27658,0.09969,1.12471,3.75026,1.07072,0.00036,0.00036,0.00036
2,263.844,1.11707,2.1355,1.09728,0.00353,0.91667,0.31725,0.11116,0.99819,3.76449,1.03479,0.00070337,0.00070337,0.00070337
3,380.465,1.17577,1.91429,1.11236,0.57077,0.10417,0.14321,0.06754,1.21346,3.71601,1.15801,0.00100912,0.00100912,0.00100912
4,485.132,1.18647,1.85674,1.15328,0.64094,0.46875,0.57459,0.3217,1.1839,3.07053,1.09738,0.00127725,0.00127725,0.00127725
5,590.562,1.19135,1.70884,1.15768,0.74894,0.17708,0.32372,0.15555,1.2396,3.28495,1.17612,0.00150776,0.00150776,0.00150776
6,695.721,1.17042,1.6924,1.12524,0.09828,0.16667,0.05657,0.02962,1.45582,3.63658,1.36945,0.001505,0.001505,0.001505
7,800.923,1.18021,1.53032,1.16248,0.74626,0.674,0.70953,0.38388,1.22568,2.43801,1.23325,0.001406,0.001406,0.001406
8,905.871,1.07466,1.37156,1.07539,0.10744,0.47917,0.0981,0.05529,1.12415,4.98435,1.17544,0.001307,0.001307,0.001307
9,1011.1,1.111,1.36676,1.10078,0.75671,0.6875,0.72758,0.46646,1.13429,1.90024,1.143,0.001208,0.001208,0.001208
10,1125.17,1.10061,1.29727,1.12406,0.83588,0.77083,0.85211,0.54042,1.13317,1.53684,1.17601,0.001109,0.001109,0.001109
11,1229.53,1.02297,1.37896,1.07352,0.81531,0.79167,0.87,0.55911,1.10025,1.45988,1.14972,0.00101,0.00101,0.00101
12,1332.02,1.02155,1.27874,1.08372,0.8774,0.82008,0.87276,0.52418,1.1697,1.44153,1.19091,0.000911,0.000911,0.000911
13,1433.92,0.97666,1.14491,1.0486,0.8017,0.78125,0.85718,0.52581,1.13239,1.40473,1.18691,0.000812,0.000812,0.000812
14,1540.8,0.95525,1.11329,1.02872,0.81612,0.87845,0.88526,0.57096,1.04202,1.25267,1.09119,0.000713,0.000713,0.000713
15,1643.53,0.92097,1.09461,1.03418,0.85525,0.875,0.90817,0.59346,1.04821,1.15335,1.13853,0.000614,0.000614,0.000614
16,1749.9,0.94154,1.03345,1.04932,0.90114,0.92708,0.94255,0.60837,1.04228,1.09849,1.1067,0.000515,0.000515,0.000515
17,1856.7,0.88643,1.00891,1.01345,0.88036,0.90625,0.91568,0.61115,0.99742,1.11683,1.08507,0.000416,0.000416,0.000416
18,1962.55,0.86026,0.95609,0.99947,0.91655,0.90625,0.93362,0.62655,1.0234,1.08974,1.10798,0.000317,0.000317,0.000317
19,2069.05,0.84977,0.91261,0.99516,0.89907,0.89583,0.92717,0.60901,1.0496,1.09423,1.11852,0.000218,0.000218,0.000218
20,2175.95,0.8417,0.88812,0.98285,0.87441,0.89583,0.9162,0.61045,1.00936,1.10269,1.11134,0.000119,0.000119,0.000119
