epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7885,1.38488,3.39908,1.44879,0.01072,0.84182,0.2834,0.18239,1.03604,3.99934,1.42532,6.666e-05,6.666e-05,6.666e-05
2,75.4888,1.32674,3.23972,1.39525,0.00665,0.885,0.15872,0.09974,1.12875,3.97956,1.46824,0.000137281,0.000137281,0.000137281
3,112.366,1.28661,2.76624,1.3735,0.00571,0.91,0.15931,0.08751,1.13983,3.95269,1.48008,0.000200202,0.000200202,0.000200202
4,149.003,1.29002,2.39315,1.34108,0.00628,0.95,0.27907,0.21416,1.20036,3.84675,1.51677,0.000255424,0.000255424,0.000255424
5,185.472,1.23273,2.25314,1.35099,0.00853,0.925,0.2111,0.12256,1.22903,3.74531,1.57981,0.000302947,0.000302947,0.000302947
6,222.306,1.32107,2.15129,1.36398,0.52073,0.15445,0.24273,0.09262,1.37009,3.75702,1.67788,0.000342771,0.000342771,0.000342771
7,259.773,1.25226,2.06027,1.35905,0.00862,0.975,0.29178,0.10946,1.31437,3.73491,1.64543,0.000374896,0.000374896,0.000374896
8,299.995,1.3199,1.95867,1.33883,0.67967,0.21813,0.44528,0.23576,1.2271,3.46999,1.57343,0.000399321,0.000399321,0.000399321
9,337.724,1.26488,1.93454,1.34563,0.7808,0.25998,0.40766,0.21401,1.28933,3.27265,1.61174,0.000416047,0.000416047,0.000416047
10,374.5,1.27972,1.91525,1.39334,0.50604,0.35455,0.47224,0.23633,1.38438,3.18363,1.7044,0.000425074,0.000425074,0.000425074
11,410.116,1.24541,2.37441,1.40717,0.39911,0.38708,0.46777,0.22096,1.39543,3.26651,1.75731,0.000426402,0.000426402,0.000426402
12,445.529,1.22454,2.24695,1.37467,0.46149,0.31853,0.38807,0.24451,1.341,3.15189,1.62218,0.00042003,0.00042003,0.00042003
13,479.992,1.20308,2.15541,1.40099,0.26791,0.36816,0.39731,0.22176,1.38986,3.10544,1.68895,0.000405959,0.000405959,0.000405959
14,514.709,1.17253,1.95882,1.38277,0.60318,0.31549,0.41418,0.2537,1.44774,2.95429,1.7933,0.000384189,0.000384189,0.000384189
15,549.169,1.1386,1.93035,1.384,0.53329,0.42453,0.45318,0.2525,1.46038,2.93964,1.8606,0.000341077,0.000341077,0.000341077
16,584.546,1.10849,1.84798,1.31046,0.45175,0.46735,0.46472,0.2577,1.3859,2.8577,1.7778,0.000286083,0.000286083,0.000286083
17,619.724,1.0743,1.77693,1.3421,0.43734,0.48521,0.42798,0.24588,1.3394,2.76525,1.73894,0.000231088,0.000231088,0.000231088
18,655.016,1.085,1.74434,1.32684,0.49612,0.41368,0.39461,0.22761,1.303,2.83188,1.72463,0.000176094,0.000176094,0.000176094
19,690.064,1.08912,1.76027,1.31537,0.46512,0.43879,0.40091,0.23765,1.25365,2.78401,1.68913,0.000121099,0.000121099,0.000121099
20,724.732,1.08318,1.69176,1.28252,0.30716,0.43924,0.39692,0.23422,1.25481,2.74553,1.67971,6.61045e-05,6.61045e-05,6.61045e-05
