epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.891,1.09985,2.04973,1.39586,0.69175,0.49054,0.59127,0.38234,1.09123,2.36851,1.51675,0.000546847,0.000546847,0.000546847
2,793.1,1.15563,1.57868,1.39161,0.66042,0.55446,0.58248,0.34193,1.37706,2.13611,1.77725,0.00105885,0.00105885,0.00105885
3,1152.01,1.17718,1.48734,1.38835,0.43194,0.51558,0.46864,0.27229,1.49734,2.53092,2.08572,0.00152685,0.00152685,0.00152685
4,1513.9,1.23245,1.44366,1.43351,0.66314,0.61026,0.61616,0.38852,1.21966,2.03742,1.5527,0.00146896,0.00146896,0.00146896
5,1870.82,1.1599,1.27434,1.39232,0.76608,0.54618,0.62265,0.38272,1.28124,1.97029,1.69254,0.00140295,0.00140295,0.00140295
6,2216.35,1.15727,1.21002,1.37272,0.66865,0.70204,0.70445,0.47108,1.08143,1.56973,1.46565,0.00133693,0.00133693,0.00133693
7,2575.17,1.14338,1.18357,1.36898,0.74962,0.68362,0.74849,0.5171,1.04204,1.21916,1.42075,0.00127092,0.00127092,0.00127092
8,2974.8,1.07721,1.08803,1.33378,0.80942,0.67709,0.75602,0.49338,1.08951,1.24707,1.43062,0.00120491,0.00120491,0.00120491
9,3399.44,1.0294,1.02243,1.28874,0.77022,0.74501,0.80272,0.57157,0.94624,1.06935,1.28651,0.00113889,0.00113889,0.00113889
10,3816.68,1.03093,0.98644,1.2844,0.86623,0.75293,0.83557,0.59672,0.92796,0.94393,1.27034,0.00107288,0.00107288,0.00107288
11,6685.53,1.0303,0.99062,1.28968,0.81323,0.78519,0.83533,0.60787,0.90151,0.90796,1.26878,0.00100687,0.00100687,0.00100687
12,7706.2,1.00192,0.95037,1.26979,0.82856,0.83561,0.86204,0.62086,0.89785,0.8229,1.25111,0.000940855,0.000940855,0.000940855
13,8062.03,0.96665,0.92388,1.25333,0.81061,0.83788,0.85414,0.63553,0.91839,0.8347,1.24783,0.000874842,0.000874842,0.000874842
14,8409.74,0.96096,0.87408,1.23609,0.7958,0.81882,0.83588,0.60478,0.88179,0.81727,1.24338,0.000808828,0.000808828,0.000808828
15,8760.74,0.91365,0.82872,1.21889,0.8668,0.85983,0.88309,0.66064,0.89413,0.78732,1.2604,0.000742815,0.000742815,0.000742815
16,9108.32,0.8459,0.85696,1.26115,0.71372,0.79599,0.83417,0.61242,0.90542,1.20236,1.26765,0.000676802,0.000676802,0.000676802
17,10534.6,0.82182,0.71851,1.22546,0.87265,0.87357,0.87729,0.65809,0.82961,0.7426,1.19587,0.000610789,0.000610789,0.000610789
18,10885.1,0.80617,0.70458,1.20997,0.87905,0.83227,0.85709,0.64151,0.83767,0.73691,1.18011,0.000544776,0.000544776,0.000544776
19,11234.5,0.78762,0.67509,1.19764,0.85707,0.85802,0.88155,0.66279,0.79937,0.69783,1.16619,0.000478762,0.000478762,0.000478762
20,11577.7,0.76435,0.6454,1.17741,0.8508,0.88587,0.89553,0.68583,0.81714,0.67276,1.17547,0.000412749,0.000412749,0.000412749
21,11923.1,0.74074,0.61357,1.16352,0.87927,0.87089,0.89105,0.67373,0.81152,0.66014,1.16395,0.000346736,0.000346736,0.000346736
22,16828.6,0.69846,0.57489,1.12441,0.84207,0.91348,0.88584,0.68872,0.7702,0.63823,1.1425,0.000280723,0.000280723,0.000280723
23,17174.6,0.69562,0.56142,1.12805,0.879,0.86775,0.89533,0.69436,0.76255,0.63499,1.12642,0.00021471,0.00021471,0.00021471
24,17519.2,0.68649,0.54188,1.12014,0.88742,0.87837,0.8857,0.70182,0.75211,0.63429,1.12709,0.000148696,0.000148696,0.000148696
25,17865,0.66797,0.51441,1.11367,0.9036,0.86631,0.89249,0.70489,0.75275,0.61237,1.12607,8.26832e-05,8.26832e-05,8.26832e-05
