epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8071,1.22629,2.64283,1.59083,0.00333,1,0.37775,0.20832,0.6049,3.20849,1.36362,8e-05,8e-05,8e-05
2,31.4574,0.93283,2.3293,1.40068,0.00333,1,0.57846,0.3623,0.5347,3.11422,1.24821,0.00017406,0.00017406,0.00017406
3,61.143,0.90121,1.80084,1.32529,0.00333,1,0.58555,0.33791,0.7213,3.01071,1.42195,0.00026152,0.00026152,0.00026152
4,95.312,0.78901,1.44206,1.27825,0.52639,0.84211,0.65778,0.44053,0.88163,2.94949,1.64662,0.00034238,0.00034238,0.00034238
5,117.822,0.96158,1.49751,1.3953,1,0.43119,0.88361,0.52391,0.90346,2.82335,1.65907,0.00041664,0.00041664,0.00041664
6,29782.4,0.91234,1.27645,1.33832,0.7011,0.57895,0.80913,0.42583,1.08329,2.75908,1.96662,0.0004843,0.0004843,0.0004843
7,29804.9,1.03627,1.58518,1.52466,0.35072,0.68421,0.36885,0.21866,1.33527,3.08566,2.18453,0.00054536,0.00054536,0.00054536
8,29863.9,0.94985,1.22985,1.34741,0.26509,0.47466,0.26409,0.15672,1.80265,3.19583,2.84732,0.00059982,0.00059982,0.00059982
9,29919.9,0.99584,1.30604,1.42624,0.53809,0.63158,0.47013,0.19338,1.4104,3.07574,2.24662,0.00064768,0.00064768,0.00064768
10,29976,0.80561,1.16864,1.27634,0.17923,0.36842,0.18645,0.08449,1.5132,3.21986,2.31555,0.00068894,0.00068894,0.00068894
11,30031.6,0.77843,1.2096,1.21401,0.46227,0.68421,0.52034,0.2488,1.48391,2.75784,2.37664,0.0007236,0.0007236,0.0007236
12,30053.7,0.82409,1.09354,1.26137,0.57013,0.41898,0.45078,0.19061,1.66347,2.81479,3.03589,0.00075166,0.00075166,0.00075166
13,30102.9,0.85249,1.15899,1.27277,0.3832,0.52328,0.32916,0.13915,1.84664,3.12003,3.32658,0.00077312,0.00077312,0.00077312
14,30160.4,0.82746,1.11081,1.24602,0.37247,0.57895,0.30281,0.13575,1.98514,3.13984,3.21807,0.00078798,0.00078798,0.00078798
15,30215.9,0.85085,1.06982,1.22697,0.38548,0.63158,0.32993,0.17258,1.7378,2.84213,2.72797,0.00079624,0.00079624,0.00079624
16,30271.2,0.76975,0.99878,1.18374,0.42887,0.52632,0.28976,0.14624,1.76259,2.96291,2.7209,0.0007979,0.0007979,0.0007979
17,30327.5,0.86867,1.09511,1.23313,0.55456,0.68421,0.57138,0.34449,1.196,2.38168,2.09071,0.00079296,0.00079296,0.00079296
18,30371.8,0.78364,1.10706,1.2027,0.71054,0.78947,0.83711,0.50329,1.1917,2.19906,2.01507,0.00078142,0.00078142,0.00078142
19,30392.7,0.86238,0.98099,1.21425,0.68251,0.90545,0.90001,0.54041,1.09821,2.30908,1.97555,0.00076328,0.00076328,0.00076328
20,30444,0.75818,0.95952,1.24605,0.82306,0.84211,0.91721,0.52295,1.31724,2.0715,2.38323,0.00073854,0.00073854,0.00073854
21,30478.3,0.76639,1.54388,1.32673,1,0.88222,0.98548,0.56175,1.29077,1.68903,2.8354,0.00068,0.00068,0.00068
22,30499.3,0.7996,1.54812,1.37723,0.94719,0.94418,0.90373,0.50424,1.40208,1.73023,3.33507,0.000614,0.000614,0.000614
23,30520.5,0.66058,1.2568,1.19687,0.89252,0.89474,0.88915,0.48716,1.41416,1.9645,3.42129,0.000548,0.000548,0.000548
24,30541.7,0.59785,1.23217,1.15876,0.89901,0.93745,0.91694,0.61249,1.06895,1.70441,2.60176,0.000482,0.000482,0.000482
25,30563,0.53352,1.10504,1.10458,1,0.99545,0.995,0.64094,1.07212,1.62499,2.50645,0.000416,0.000416,0.000416
26,30585,0.62827,1.06443,1.23635,0.99993,1,0.995,0.68064,0.96712,1.54451,2.21558,0.00035,0.00035,0.00035
27,30607.1,0.51755,1.09434,1.19067,0.98836,1,0.995,0.73756,0.89161,1.55309,1.92881,0.000284,0.000284,0.000284
28,30645.2,0.63494,1.05558,1.27745,0.93804,0.94737,0.96871,0.68604,0.96961,1.58639,1.8768,0.000218,0.000218,0.000218
29,30680,0.59733,1.1748,1.28567,0.948,1,0.977,0.66846,0.99455,1.56151,1.89447,0.000152,0.000152,0.000152
30,30722.8,0.50479,1.00553,1.08392,0.89384,0.94737,0.96,0.66631,0.99348,1.521,1.87902,8.6e-05,8.6e-05,8.6e-05
