epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.821,1.78199,2.73005,1.65439,0.00478,0.97727,0.64701,0.32701,1.19414,3.05808,1.37122,0.00012,0.00012,0.00012
2,165.897,1.44831,2.00367,1.42249,0.68086,0.31818,0.65027,0.26131,1.4757,2.83359,1.68461,0.00024713,0.00024713,0.00024713
3,317.58,1.41729,1.68119,1.34672,0.00467,0.95455,0.65158,0.30831,1.32934,2.7602,1.48864,0.0003604,0.0003604,0.0003604
4,473.145,1.39892,1.66249,1.36998,0.73749,0.19203,0.75964,0.34468,1.42254,2.78775,1.53731,0.00045981,0.00045981,0.00045981
5,617.616,1.4067,1.66187,1.40358,0.00456,0.93182,0.37872,0.15364,1.97285,3.35992,2.11006,0.00054536,0.00054536,0.00054536
6,749.44,1.4672,1.58371,1.34859,0.25667,0.77273,0.41102,0.15865,1.74585,3.26216,1.87757,0.00061705,0.00061705,0.00061705
7,877.7,1.34724,1.56887,1.32737,0.49295,0.47727,0.51526,0.272,1.58095,2.57916,1.79171,0.00067488,0.00067488,0.00067488
8,1004.45,1.38122,1.55773,1.32272,0.71581,0.6298,0.69624,0.30077,1.55978,2.56491,1.81604,0.00071885,0.00071885,0.00071885
9,1136.77,1.35274,1.43036,1.33801,0.71759,0.57764,0.64782,0.30354,1.69403,2.37765,1.88512,0.00074896,0.00074896,0.00074896
10,1207.38,1.32681,1.3693,1.25773,0.74864,0.56818,0.6577,0.22435,1.87028,2.5783,2.10094,0.00076521,0.00076521,0.00076521
11,1258.04,1.32257,2.08421,1.47954,0.46944,0.54545,0.44007,0.17072,1.89836,2.7408,2.03036,0.0007676,0.0007676,0.0007676
12,1306.12,1.44272,2.02668,1.53327,0.65723,0.43182,0.51845,0.23833,1.4642,2.62804,1.63965,0.00075613,0.00075613,0.00075613
13,1363.02,1.28985,1.89357,1.34752,0.61928,0.54545,0.60933,0.30527,1.39694,2.48257,1.49241,0.0007308,0.0007308,0.0007308
14,1482.56,1.27927,1.74162,1.38788,0.79333,0.72727,0.7639,0.39918,1.41473,2.23719,1.5509,0.00069161,0.00069161,0.00069161
15,1618.45,1.15038,1.68587,1.3354,0.83833,0.70717,0.80429,0.47208,1.31341,1.99065,1.48208,0.000614,0.000614,0.000614
16,1757.47,1.1535,1.6773,1.324,0.81509,0.80156,0.81665,0.45058,1.32807,2.02311,1.41723,0.000515,0.000515,0.000515
17,1892.31,1.15251,1.57734,1.27473,0.80766,0.79545,0.8109,0.43555,1.35532,2.02049,1.43554,0.000416,0.000416,0.000416
18,2026.51,1.12069,1.5284,1.25871,0.8097,0.79545,0.83573,0.46095,1.3844,1.95323,1.39231,0.000317,0.000317,0.000317
19,2156.82,1.05709,1.47614,1.21587,0.87971,0.79545,0.88075,0.47418,1.4103,1.85962,1.41899,0.000218,0.000218,0.000218
20,2292.08,1.06669,1.44088,1.25242,0.92251,0.81181,0.88384,0.48887,1.38065,1.78815,1.41847,0.000119,0.000119,0.000119
