epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.313,1.70584,3.71193,1.60332,0.00375,0.96591,0.35002,0.18388,1.32513,3.52748,1.19482,0.00035,0.00035,0.00035
2,366.725,1.5394,2.49839,1.36901,0.67349,0.25596,0.50046,0.25166,1.3804,3.39682,1.23709,0.000698392,0.000698392,0.000698392
3,536.732,1.57246,2.35255,1.33998,0.42951,0.53236,0.54229,0.29793,1.53231,2.68604,1.3291,0.00103243,0.00103243,0.00103243
4,709.174,1.58377,2.14434,1.36787,0.706,0.54868,0.6382,0.32927,1.58447,2.45175,1.34843,0.00117575,0.00117575,0.00117575
5,876.093,1.5693,2.04647,1.32427,0.57448,0.73123,0.75359,0.39601,1.65497,2.90591,1.42493,0.001151,0.001151,0.001151
6,1064.4,1.56357,1.9415,1.35138,0.70278,0.57707,0.72544,0.40481,1.43335,2.42509,1.2442,0.00112625,0.00112625,0.00112625
7,1234.34,1.50162,1.71613,1.30926,0.72575,0.73186,0.79457,0.4684,1.40884,1.7339,1.25252,0.0011015,0.0011015,0.0011015
8,1405,1.55699,1.57153,1.32134,0.77462,0.85067,0.86658,0.48299,1.47414,1.50633,1.26375,0.00107675,0.00107675,0.00107675
9,1581.98,1.50395,1.56101,1.28701,0.81076,0.77985,0.83687,0.4618,1.47469,1.51758,1.30272,0.001052,0.001052,0.001052
10,1767.14,1.51528,1.41287,1.30267,0.8758,0.81643,0.9132,0.48839,1.55705,1.36173,1.31137,0.00102725,0.00102725,0.00102725
11,1949.05,1.47582,1.33519,1.27408,0.871,0.85342,0.92056,0.48607,1.48623,1.41894,1.34764,0.0010025,0.0010025,0.0010025
12,2130.49,1.4896,1.30713,1.29024,0.8963,0.82874,0.89516,0.50725,1.39704,1.20184,1.27065,0.00097775,0.00097775,0.00097775
13,2304.04,1.47516,1.25744,1.25929,0.93728,0.84421,0.91251,0.52112,1.43134,1.13873,1.27291,0.000953,0.000953,0.000953
14,2480.73,1.45371,1.20646,1.23975,0.87561,0.84095,0.92493,0.52005,1.46417,1.15992,1.30987,0.00092825,0.00092825,0.00092825
15,2649.38,1.43051,1.1985,1.26509,0.89046,0.89413,0.90217,0.51788,1.422,1.09343,1.28134,0.0009035,0.0009035,0.0009035
16,2823.34,1.42497,1.16633,1.25072,0.8632,0.90927,0.92413,0.55288,1.40491,1.01685,1.2557,0.00087875,0.00087875,0.00087875
17,2987.59,1.40432,1.08711,1.24124,0.82283,0.88703,0.90719,0.51559,1.46395,1.04854,1.27223,0.000854,0.000854,0.000854
18,3149.23,1.3826,1.05645,1.22645,0.90569,0.8913,0.91666,0.51976,1.46982,0.94424,1.26803,0.00082925,0.00082925,0.00082925
19,28016,1.33318,0.9888,1.2033,0.8953,0.86486,0.91123,0.52976,1.42867,1.01932,1.2713,0.0008045,0.0008045,0.0008045
20,29462,1.37001,1.00645,1.23479,0.94802,0.90894,0.94797,0.54855,1.44521,0.85009,1.24279,0.00077975,0.00077975,0.00077975
21,29636.8,1.36713,0.95019,1.20972,0.89981,0.91071,0.9429,0.53898,1.52879,0.93456,1.29242,0.000755,0.000755,0.000755
22,29807.9,1.34549,0.92875,1.22024,0.88177,0.91404,0.9455,0.56917,1.43805,0.84776,1.24468,0.00073025,0.00073025,0.00073025
23,29973.6,1.35695,0.94678,1.21503,0.93743,0.87302,0.93674,0.54164,1.4902,0.91661,1.29356,0.0007055,0.0007055,0.0007055
24,30138.2,1.288,0.88226,1.18882,0.92727,0.90695,0.95751,0.55292,1.41452,0.81959,1.26388,0.00068075,0.00068075,0.00068075
